step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
0,"{'op': 'alloc', 'id': 0, 'size': 27}",27,27,32,32.0,0.0,0.9921875,0.9921875
1,"{'op': 'alloc', 'id': 1, 'size': 18}",18,45,64,64.0,0.0,0.984375,0.984375
2,"{'op': 'alloc', 'id': 2, 'size': 16}",16,61,96,96.0,0.0,0.9765625,0.9765625
3,"{'op': 'alloc', 'id': 3, 'size': 27}",27,88,128,128.0,0.0,0.96875,0.96875
4,"{'op': 'alloc', 'id': 4, 'size': 19}",19,107,160,160.0,0.0,0.9609375,0.9609375
5,"{'op': 'alloc', 'id': 5, 'size': 13}",13,120,192,192.0,0.0,0.953125,0.953125
6,"{'op': 'alloc', 'id': 6, 'size': 13}",13,133,224,224.0,0.0,0.9453125,0.9453125
7,"{'op': 'alloc', 'id': 7, 'size': 6}",6,139,256,256.0,0.0,0.9375,0.9375
8,"{'op': 'alloc', 'id': 8, 'size': 13}",13,152,288,288.0,0.0,0.9296875,0.9296875
9,"{'op': 'alloc', 'id': 9, 'size': 23}",23,175,320,320.0,0.0,0.921875,0.921875
10,"{'op': 'alloc', 'id': 10, 'size': 18}",18,193,352,352.0,0.0,0.9140625,0.9140625
11,"{'op': 'alloc', 'id': 11, 'size': 28}",28,221,384,384.0,0.0,0.90625,0.90625
12,"{'op': 'alloc', 'id': 12, 'size': 7}",7,228,416,416.0,0.0,0.8984375,0.8984375
13,"{'op': 'alloc', 'id': 13, 'size': 30}",30,258,448,448.0,0.0,0.890625,0.890625
14,"{'op': 'alloc', 'id': 14, 'size': 7}",7,265,480,480.0,0.0,0.8828125,0.8828125
15,"{'op': 'alloc', 'id': 15, 'size': 28}",28,293,512,512.0,0.0,0.875,0.875
16,"{'op': 'alloc', 'id': 16, 'size': 11}",11,304,544,544.0,0.0,0.8671875,0.8671875
17,"{'op': 'free', 'id': 8}",0,291,512,512.0,0.0,0.875,0.875
18,"{'op': 'alloc', 'id': 18, 'size': 6}",6,297,544,544.0,0.0,0.8671875,0.8671875
19,"{'op': 'alloc', 'id': 19, 'size': 22}",22,319,576,576.0,0.0,0.859375,0.859375
20,"{'op': 'alloc', 'id': 20, 'size': 25}",25,344,608,608.0,0.0,0.8515625,0.8515625
21,"{'op': 'alloc', 'id': 21, 'size': 4}",4,348,640,640.0,0.0,0.84375,0.84375
22,"{'op': 'alloc', 'id': 22, 'size': 18}",18,366,672,672.0,0.0,0.8359375,0.8359375
23,"{'op': 'alloc', 'id': 23, 'size': 27}",27,393,704,704.0,0.0,0.828125,0.828125
24,"{'op': 'alloc', 'id': 24, 'size': 11}",11,404,736,736.0,0.0,0.8203125,0.8203125
25,"{'op': 'free', 'id': 18}",0,398,704,704.0,0.0,0.828125,0.828125
26,"{'op': 'alloc', 'id': 25, 'size': 32}",32,430,736,736.0,0.0,0.8203125,0.8203125
27,"{'op': 'free', 'id': 3}",0,403,704,704.0,0.0,0.828125,0.828125
28,"{'op': 'alloc', 'id': 26, 'size': 31}",31,434,736,736.0,0.0,0.8203125,0.8203125
29,"{'op': 'alloc', 'id': 27, 'size': 28}",28,462,768,768.0,0.0,0.8125,0.8125
30,"{'op': 'alloc', 'id': 28, 'size': 18}",18,480,800,800.0,0.0,0.8046875,0.8046875
31,"{'op': 'alloc', 'id': 29, 'size': 11}",11,491,832,832.0,0.0,0.796875,0.796875
32,"{'op': 'alloc', 'id': 30, 'size': 14}",14,505,864,864.0,0.0,0.7890625,0.7890625
33,"{'op': 'alloc', 'id': 31, 'size': 30}",30,535,896,896.0,0.0,0.78125,0.78125
34,"{'op': 'alloc', 'id': 32, 'size': 24}",24,559,928,928.0,0.0,0.7734375,0.7734375
35,"{'op': 'alloc', 'id': 33, 'size': 16}",16,575,960,960.0,0.0,0.765625,0.765625
36,"{'op': 'alloc', 'id': 34, 'size': 1}",1,576,992,992.0,0.0,0.7578125,0.7578125
37,"{'op': 'free', 'id': 30}",0,562,960,960.0,0.0,0.765625,0.765625
38,"{'op': 'free', 'id': 6}",0,549,928,928.0,0.0,0.7734375,0.7734375
39,"{'op': 'alloc', 'id': 37, 'size': 22}",22,571,960,960.0,0.0,0.765625,0.765625
40,"{'op': 'free', 'id': 1}",0,553,928,928.0,0.0,0.7734375,0.7734375
41,"{'op': 'alloc', 'id': 39, 'size': 4}",4,557,960,960.0,0.0,0.765625,0.765625
42,"{'op': 'alloc', 'id': 40, 'size': 28}",28,585,992,992.0,0.0,0.7578125,0.7578125
